client_id,age,gender,state,occupation,income,income_band,join_year,nationality,marital,education
C100157,51,Female,WA,Blue-Collar,125843,Medium,2022,Australian,married,unknown
C100158,43,Male,NSW,Technician,103858,Medium,2019,Australian,single,professional.course
C100159,59,Male,QLD,Services,99831,Medium,2024,Australian,married,high.school
C100160,24,Female,VIC,Management,79619,Medium,2023,Australian,single,university.degree
C100161,37,Male,QLD,Blue-Collar,75947,Medium,2023,Australian,single,basic.9y
C100162,40,Female,NSW,Blue-Collar,112742,Medium,2024,New Zealander,married,basic.9y
C100163,42,Male,QLD,Blue-Collar,79043,Medium,2023,Australian,married,basic.9y
C100164,39,Male,QLD,Services,107112,Medium,2024,Australian,divorced,high.school
C100165,37,Female,WA,Entrepreneur,71515,Low,2022,Australian,married,basic.6y
C100166,38,Male,NSW,Services,107379,Medium,2019,Chinese,married,high.school
C100167,56,Male,NSW,Admin,121719,Medium,2024,Australian,divorced,unknown
C100168,40,Female,WA,Blue-Collar,102820,Medium,2020,Australian,married,unknown
C100169,54,Male,WA,Management,116211,Medium,2023,Australian,divorced,university.degree
C100170,43,Female,WA,Blue-Collar,85393,Medium,2020,Australian,married,high.school
C100171,36,Male,NSW,Services,99853,Medium,2020,Australian,married,high.school
C100172,45,Male,VIC,Technician,109590,Medium,2023,Australian,married,university.degree
C100173,42,Female,SA,Admin,86993,Medium,2022,Australian,single,university.degree
C100174,43,Male,NSW,Services,85115,Medium,2020,Australian,married,high.school
C100175,46,Female,WA,Management,97971,Medium,2019,Australian,married,basic.9y
C100176,44,Male,WA,Services,120249,Medium,2023,Australian,married,high.school
C100177,51,Male,NSW,Admin,93770,Medium,2024,Australian,single,basic.6y
C100178,28,Male,NSW,Services,86276,Medium,2022,Australian,married,high.school
C100179,37,Female,VIC,Blue-Collar,88080,Medium,2019,Australian,married,basic.9y
C100180,34,Female,VIC,Technician,110872,Medium,2021,Other,married,high.school
C100181,46,Female,VIC,Blue-Collar,91433,Medium,2023,Chinese,married,basic.6y
C100182,42,Female,VIC,Blue-Collar,83969,Medium,2021,New Zealander,married,basic.9y
C100183,36,Male,VIC,Admin,109875,Medium,2023,Australian,married,university.degree
C100184,54,Female,NSW,Blue-Collar,97245,Medium,2020,Australian,married,basic.4y
C100185,57,Male,NSW,Management,137679,Medium,2021,Chinese,married,university.degree
C100186,51,Female,VIC,Technician,104849,Medium,2022,Indian,married,basic.6y
C100187,54,Female,NSW,Retired,92706,Medium,2023,Australian,married,high.school
C100188,49,Female,QLD,Blue-Collar,71432,Low,2020,Australian,married,basic.4y
C100189,34,Male,VIC,Admin,114711,Medium,2021,Australian,married,university.degree
C100190,41,Female,NSW,Technician,128834,Medium,2020,Australian,married,professional.course
C100191,38,Female,QLD,Blue-Collar,83346,Medium,2020,New Zealander,single,basic.9y
C100192,45,Male,QLD,Management,104452,Medium,2024,Australian,divorced,university.degree
C100193,42,Female,NSW,Technician,130037,Medium,2020,New Zealander,married,university.degree
C100194,34,Male,NSW,Blue-Collar,68815,Low,2020,Other,single,basic.9y
C100195,48,Female,NSW,Blue-Collar,76263,Medium,2024,Australian,married,basic.4y
C100196,37,Male,NSW,Admin,94670,Medium,2024,Australian,married,high.school
C100197,34,Male,QLD,Blue-Collar,77365,Medium,2020,Australian,single,basic.9y
C100198,40,Male,TAS,Admin,85939,Medium,2019,New Zealander,married,basic.9y
C100199,43,Female,NSW,Blue-Collar,84289,Medium,2023,Australian,married,basic.6y
C100200,33,Male,QLD,Services,96001,Medium,2019,New Zealander,married,high.school
C100201,32,Male,VIC,Services,100990,Medium,2022,Other,single,basic.6y
C100202,39,Male,VIC,Blue-Collar,90937,Medium,2022,Other,married,high.school
C100203,43,Male,QLD,Admin,113777,Medium,2019,Australian,married,unknown
C100204,44,Female,VIC,Blue-Collar,65998,Low,2021,Australian,married,basic.9y
C100205,35,Female,VIC,Student,104765,Medium,2023,Indian,single,university.degree
C100206,35,Female,QLD,Student,95231,Medium,2019,Chinese,single,university.degree
C100207,35,Female,QLD,Unemployed,89624,Medium,2022,Indian,married,professional.course
C100208,36,Female,QLD,Services,73462,Low,2022,Chinese,single,basic.4y
C100209,35,Female,WA,Student,101341,Medium,2021,Australian,single,university.degree
C100210,36,Male,VIC,Student,103191,Medium,2023,Australian,single,basic.9y
C100211,55,Female,NSW,Housemaid,100433,Medium,2023,Other,divorced,university.degree
C100212,59,Male,NSW,Admin,116518,Medium,2024,Australian,married,university.degree
C100213,57,Male,VIC,Retired,118140,Medium,2021,Australian,married,unknown
C100214,39,Male,NSW,Blue-Collar,92918,Medium,2024,Australian,married,professional.course
C100215,39,Female,WA,Housemaid,93783,Medium,2021,Chinese,married,basic.4y
C100216,30,Male,NSW,Blue-Collar,102657,Medium,2022,Australian,single,unknown
C100217,30,Female,NSW,Blue-Collar,112249,Medium,2023,Australian,single,unknown
C100218,50,Male,VIC,Housemaid,89246,Medium,2021,Other,married,basic.4y
C100219,40,Female,NSW,Services,89549,Medium,2023,Australian,married,high.school
C100220,35,Male,WA,Admin,82564,Medium,2021,Chinese,married,high.school
C100221,43,Male,NSW,Technician,119760,Medium,2022,Australian,married,unknown
C100222,36,Female,QLD,Services,89619,Medium,2024,Australian,single,basic.6y
C100223,46,Female,TAS,Technician,81887,Medium,2024,Australian,married,basic.4y
C100224,40,Female,NSW,Technician,97886,Medium,2023,Australian,married,basic.9y
C100225,58,Female,SA,Retired,124039,Medium,2019,Indian,married,university.degree
C100226,42,Female,QLD,Technician,142710,High,2024,Australian,married,university.degree
C100227,35,Female,VIC,Admin,118272,Medium,2022,Australian,single,university.degree
C100228,43,Female,NSW,Retired,77311,Medium,2020,Australian,married,basic.4y
C100229,45,Female,VIC,Blue-Collar,81001,Medium,2021,Australian,married,basic.4y
C100230,39,Female,NSW,Admin,78089,Medium,2020,Australian,married,professional.course
C100231,50,Male,VIC,Services,106312,Medium,2024,Australian,divorced,professional.course
C100232,32,Female,NSW,Management,80787,Medium,2021,British,divorced,basic.4y
C100233,39,Female,VIC,Admin,103120,Medium,2023,Australian,married,high.school
C100234,52,Female,WA,Self-Employed,108651,Medium,2022,Australian,married,university.degree
C100235,44,Female,NSW,Admin,92050,Medium,2024,Indian,married,professional.course
C100236,56,Female,VIC,Blue-Collar,68033,Low,2019,British,married,basic.4y
C100237,48,Male,NSW,Admin,94348,Medium,2023,Australian,married,high.school
C100238,33,Female,VIC,Services,79201,Medium,2024,Australian,married,high.school
C100239,43,Male,VIC,Management,100997,Medium,2023,Australian,married,university.degree
C100240,57,Female,NSW,Retired,99428,Medium,2020,Australian,married,high.school
C100241,36,Male,QLD,Technician,102769,Medium,2022,New Zealander,single,professional.course
C100242,34,Female,NSW,Management,78607,Medium,2023,Australian,married,university.degree
C100243,34,Male,QLD,Services,71695,Low,2019,Australian,single,basic.9y
C100244,30,Male,VIC,Technician,127851,Medium,2023,Australian,married,university.degree
C100245,33,Female,QLD,Services,90501,Medium,2022,Chinese,divorced,unknown
C100246,32,Male,NSW,Technician,87339,Medium,2020,Australian,single,professional.course
C100247,36,Female,VIC,Technician,118943,Medium,2024,Australian,single,high.school
C100248,36,Female,NSW,Blue-Collar,122161,Medium,2023,Australian,single,high.school
C100249,33,Male,NSW,Services,77891,Medium,2024,Indian,single,high.school
C100250,40,Female,QLD,Technician,102881,Medium,2020,Australian,divorced,professional.course
C100251,41,Female,NSW,Blue-Collar,85149,Medium,2021,Australian,married,basic.4y
C100252,51,Male,QLD,Services,120994,Medium,2024,Chinese,married,basic.6y
C100253,36,Female,NSW,Technician,92058,Medium,2021,Other,married,professional.course
C100254,28,Female,NSW,Services,98757,Medium,2023,Australian,married,unknown
C100255,53,Male,WA,Services,118278,Medium,2024,New Zealander,married,high.school
C100256,58,Female,NSW,Blue-Collar,107717,Medium,2021,Indian,married,basic.9y
C100257,45,Male,QLD,Management,90536,Medium,2023,Australian,married,basic.9y
C100258,43,Female,NSW,Technician,115244,Medium,2019,Australian,married,unknown
C100259,33,Male,NSW,Admin,67051,Low,2023,Australian,married,high.school
C100260,33,Male,VIC,Admin,80692,Medium,2020,Australian,married,high.school
C100261,27,Female,VIC,Blue-Collar,69453,Low,2024,Other,single,basic.6y
C100262,42,Female,NSW,Technician,104786,Medium,2019,Australian,married,high.school
C100263,43,Male,QLD,Admin,81886,Medium,2021,Australian,divorced,basic.9y
C100264,42,Female,VIC,Admin,107358,Medium,2019,New Zealander,married,university.degree
C100265,27,Female,NSW,Blue-Collar,84803,Medium,2019,Australian,single,basic.6y
C100266,34,Female,NSW,Self-Employed,103965,Medium,2024,New Zealander,single,university.degree
C100267,31,Female,NSW,Student,106171,Medium,2023,Chinese,single,university.degree
C100268,54,Female,VIC,Management,117338,Medium,2020,Australian,divorced,university.degree
C100269,40,Female,NSW,Self-Employed,86201,Medium,2024,Australian,married,basic.4y
C100270,52,Female,WA,Unemployed,103041,Medium,2019,New Zealander,married,high.school
C100271,47,Female,WA,Management,114548,Medium,2022,British,divorced,university.degree
C100272,49,Female,TAS,Housemaid,96083,Medium,2024,Australian,married,basic.9y
C100273,32,Female,VIC,Admin,107818,Medium,2021,Australian,single,high.school
C100274,49,Female,NSW,Housemaid,119630,Medium,2021,New Zealander,single,high.school
C100275,50,Female,SA,Blue-Collar,100330,Medium,2022,Australian,married,basic.9y
C100276,34,Male,QLD,Services,83643,Medium,2022,Australian,married,high.school
C100277,55,Female,NSW,Blue-Collar,79601,Medium,2022,Australian,married,basic.4y
C100278,47,Male,NSW,Technician,117044,Medium,2024,Indian,single,basic.9y
C100279,51,Female,QLD,Retired,115003,Medium,2023,Australian,married,professional.course
C100280,47,Male,NSW,Blue-Collar,95412,Medium,2021,Australian,married,basic.6y
C100281,56,Male,VIC,Technician,82465,Medium,2019,Other,married,basic.4y
C100282,53,Male,NSW,Admin,108179,Medium,2021,Australian,married,basic.9y
C100283,36,Female,VIC,Blue-Collar,89253,Medium,2023,Australian,married,basic.9y
C100284,42,Male,VIC,Blue-Collar,75575,Medium,2024,New Zealander,divorced,basic.9y
C100285,44,Male,TAS,Blue-Collar,81442,Medium,2022,Chinese,divorced,basic.6y
C100286,39,Female,NSW,Housemaid,91915,Medium,2024,Indian,married,basic.9y
C100287,37,Male,VIC,Admin,87580,Medium,2023,Australian,single,high.school
C100288,60,Female,SA,Blue-Collar,118194,Medium,2022,Australian,married,unknown
C100289,36,Female,VIC,Services,93258,Medium,2024,Australian,married,high.school
C100290,42,Male,NSW,Management,103476,Medium,2020,Australian,divorced,university.degree
C100291,31,Male,NSW,Admin,83681,Medium,2019,Australian,married,high.school
C100292,53,Female,NSW,Technician,136008,Medium,2022,Australian,divorced,professional.course
C100293,45,Male,VIC,Blue-Collar,53650,Low,2019,Australian,married,basic.4y
C100294,37,Male,QLD,Technician,101908,Medium,2022,Australian,single,professional.course
C100295,47,Male,WA,Self-Employed,111768,Medium,2021,Australian,married,professional.course
C100296,49,Male,NSW,Blue-Collar,101902,Medium,2020,Australian,divorced,high.school
C100297,36,Male,WA,Admin,92137,Medium,2019,Indian,married,university.degree
C100298,35,Male,WA,Services,72569,Low,2024,Australian,divorced,high.school
C100299,38,Female,QLD,Unknown,118936,Medium,2021,Australian,married,unknown
C100300,38,Female,QLD,Services,116928,Medium,2021,Australian,single,high.school
C100301,50,Male,QLD,Blue-Collar,80794,Medium,2024,Australian,divorced,high.school
C100302,59,Male,VIC,Retired,129016,Medium,2024,Australian,married,professional.course
C100303,43,Male,QLD,Unknown,115308,Medium,2022,Australian,married,unknown
C100304,42,Male,QLD,Admin,90464,Medium,2023,Other,married,high.school
C100305,40,Male,VIC,Admin,69865,Low,2019,Indian,married,basic.6y
C100306,46,Male,WA,Blue-Collar,105787,Medium,2020,Australian,married,unknown
C100307,57,Female,NSW,Housemaid,112651,Medium,2021,Other,divorced,basic.4y
C100308,42,Male,VIC,Admin,108692,Medium,2024,Other,married,university.degree
C100309,41,Female,WA,Blue-Collar,101838,Medium,2019,Other,married,basic.4y
C100310,54,Female,VIC,Management,130829,Medium,2020,Indian,divorced,university.degree
C100311,27,Male,VIC,Admin,94219,Medium,2023,Australian,single,university.degree
C100312,36,Female,NSW,Admin,107027,Medium,2021,Other,married,high.school
C100313,58,Female,QLD,Blue-Collar,118268,Medium,2024,Australian,married,professional.course
C100314,40,Male,NSW,Management,114736,Medium,2020,Australian,married,university.degree
C100315,34,Male,WA,Admin,77341,Medium,2024,Australian,single,basic.9y
C100316,33,Male,QLD,Admin,84349,Medium,2021,Other,divorced,high.school
C100317,56,Female,NSW,Retired,93731,Medium,2019,Australian,married,basic.6y
C100318,42,Male,VIC,Blue-Collar,100775,Medium,2020,Chinese,married,basic.9y
C100319,43,Male,SA,Services,86310,Medium,2022,Indian,married,high.school
C100320,54,Female,NSW,Management,112088,Medium,2019,Indian,single,basic.9y
C100321,53,Male,VIC,Admin,91262,Medium,2019,Australian,single,basic.6y
C100322,42,Male,VIC,Technician,130055,Medium,2024,Australian,single,unknown
C100323,40,Male,NSW,Services,99910,Medium,2023,New Zealander,married,basic.6y
C100324,54,Female,WA,Technician,141048,High,2021,Australian,married,professional.course
C100325,40,Female,VIC,Housemaid,108869,Medium,2024,Indian,single,professional.course
C100326,26,Male,WA,Admin,69236,Low,2020,Australian,single,university.degree
C100327,33,Male,TAS,Admin,82747,Medium,2021,Australian,married,high.school
C100328,35,Male,QLD,Blue-Collar,68886,Low,2020,Australian,married,basic.9y
C100329,36,Male,WA,Admin,79881,Medium,2024,Australian,married,high.school
C100330,29,Male,NSW,Services,106685,Medium,2021,Australian,single,high.school
C100331,36,Male,NSW,Blue-Collar,91450,Medium,2023,Australian,married,basic.9y
C100332,35,Female,SA,Management,81663,Medium,2023,British,married,high.school
C100333,50,Female,QLD,Self-Employed,103535,Medium,2024,Australian,single,university.degree
C100334,46,Male,QLD,Services,103393,Medium,2021,Australian,married,high.school
C100335,49,Male,VIC,Entrepreneur,84951,Medium,2023,Australian,married,high.school
C100336,42,Female,QLD,Technician,100946,Medium,2024,Other,single,professional.course
C100337,36,Female,NSW,Blue-Collar,91044,Medium,2020,Australian,single,high.school
C100338,55,Female,VIC,Blue-Collar,113814,Medium,2019,Australian,married,basic.9y
C100339,41,Male,SA,Management,112955,Medium,2023,Australian,married,university.degree
C100340,57,Male,VIC,Management,88255,Medium,2024,Indian,married,professional.course
C100341,32,Female,VIC,Services,94752,Medium,2019,Other,single,high.school
C100342,49,Female,QLD,Admin,94514,Medium,2024,British,married,basic.9y
C100343,57,Female,NSW,Unknown,136117,Medium,2019,Australian,married,unknown
C100344,58,Female,VIC,Blue-Collar,114895,Medium,2023,British,divorced,basic.4y
C100345,52,Female,NSW,Technician,85741,Medium,2019,Indian,married,high.school
C100346,50,Male,NSW,Services,106307,Medium,2024,Australian,divorced,professional.course
C100347,41,Female,NSW,Blue-Collar,95141,Medium,2023,British,single,basic.9y
C100348,33,Male,QLD,Entrepreneur,77471,Medium,2020,Australian,married,university.degree
C100349,57,Male,QLD,Blue-Collar,112361,Medium,2022,Australian,married,basic.4y
C100350,48,Male,VIC,Blue-Collar,94920,Medium,2021,Australian,married,basic.6y
C100351,55,Male,VIC,Technician,130209,Medium,2020,British,married,professional.course
C100352,38,Female,VIC,Management,96249,Medium,2021,Chinese,married,university.degree
C100353,38,Female,NSW,Services,105965,Medium,2020,Australian,married,high.school
C100354,53,Male,VIC,Admin,123872,Medium,2022,Australian,married,university.degree
