date,date_id,year,month,quarter,financial_year
2019-06-14,20190614,2019,6,Q2,FY2019
2019-06-15,20190615,2019,6,Q2,FY2019
2019-06-16,20190616,2019,6,Q2,FY2019
2019-06-17,20190617,2019,6,Q2,FY2019
2019-06-18,20190618,2019,6,Q2,FY2019
2019-06-19,20190619,2019,6,Q2,FY2019
2019-06-20,20190620,2019,6,Q2,FY2019
2019-06-21,20190621,2019,6,Q2,FY2019
2019-06-22,20190622,2019,6,Q2,FY2019
2019-06-23,20190623,2019,6,Q2,FY2019
2019-06-24,20190624,2019,6,Q2,FY2019
2019-06-25,20190625,2019,6,Q2,FY2019
2019-06-26,20190626,2019,6,Q2,FY2019
2019-06-27,20190627,2019,6,Q2,FY2019
2019-06-28,20190628,2019,6,Q2,FY2019
2019-06-29,20190629,2019,6,Q2,FY2019
2019-06-30,20190630,2019,6,Q2,FY2019
2019-07-01,20190701,2019,7,Q3,FY2020
2019-07-02,20190702,2019,7,Q3,FY2020
2019-07-03,20190703,2019,7,Q3,FY2020
2019-07-04,20190704,2019,7,Q3,FY2020
2019-07-05,20190705,2019,7,Q3,FY2020
2019-07-06,20190706,2019,7,Q3,FY2020
2019-07-07,20190707,2019,7,Q3,FY2020
2019-07-08,20190708,2019,7,Q3,FY2020
2019-07-09,20190709,2019,7,Q3,FY2020
2019-07-10,20190710,2019,7,Q3,FY2020
2019-07-11,20190711,2019,7,Q3,FY2020
2019-07-12,20190712,2019,7,Q3,FY2020
2019-07-13,20190713,2019,7,Q3,FY2020
2019-07-14,20190714,2019,7,Q3,FY2020
2019-07-15,20190715,2019,7,Q3,FY2020
2019-07-16,20190716,2019,7,Q3,FY2020
2019-07-17,20190717,2019,7,Q3,FY2020
2019-07-18,20190718,2019,7,Q3,FY2020
2019-07-19,20190719,2019,7,Q3,FY2020
2019-07-20,20190720,2019,7,Q3,FY2020
2019-07-21,20190721,2019,7,Q3,FY2020
2019-07-22,20190722,2019,7,Q3,FY2020
2019-07-23,20190723,2019,7,Q3,FY2020
2019-07-24,20190724,2019,7,Q3,FY2020
2019-07-25,20190725,2019,7,Q3,FY2020
2019-07-26,20190726,2019,7,Q3,FY2020
2019-07-27,20190727,2019,7,Q3,FY2020
2019-07-28,20190728,2019,7,Q3,FY2020
2019-07-29,20190729,2019,7,Q3,FY2020
2019-07-30,20190730,2019,7,Q3,FY2020
2019-07-31,20190731,2019,7,Q3,FY2020
2019-08-01,20190801,2019,8,Q3,FY2020
2019-08-02,20190802,2019,8,Q3,FY2020
2019-08-03,20190803,2019,8,Q3,FY2020
2019-08-04,20190804,2019,8,Q3,FY2020
2019-08-05,20190805,2019,8,Q3,FY2020
2019-08-06,20190806,2019,8,Q3,FY2020
2019-08-07,20190807,2019,8,Q3,FY2020
2019-08-08,20190808,2019,8,Q3,FY2020
2019-08-09,20190809,2019,8,Q3,FY2020
2019-08-10,20190810,2019,8,Q3,FY2020
2019-08-11,20190811,2019,8,Q3,FY2020
2019-08-12,20190812,2019,8,Q3,FY2020
2019-08-13,20190813,2019,8,Q3,FY2020
2019-08-14,20190814,2019,8,Q3,FY2020
2019-08-15,20190815,2019,8,Q3,FY2020
2019-08-16,20190816,2019,8,Q3,FY2020
2019-08-17,20190817,2019,8,Q3,FY2020
2019-08-18,20190818,2019,8,Q3,FY2020
2019-08-19,20190819,2019,8,Q3,FY2020
2019-08-20,20190820,2019,8,Q3,FY2020
2019-08-21,20190821,2019,8,Q3,FY2020
2019-08-22,20190822,2019,8,Q3,FY2020
2019-08-23,20190823,2019,8,Q3,FY2020
2019-08-24,20190824,2019,8,Q3,FY2020
2019-08-25,20190825,2019,8,Q3,FY2020
2019-08-26,20190826,2019,8,Q3,FY2020
2019-08-27,20190827,2019,8,Q3,FY2020
2019-08-28,20190828,2019,8,Q3,FY2020
2019-08-29,20190829,2019,8,Q3,FY2020
2019-08-30,20190830,2019,8,Q3,FY2020
2019-08-31,20190831,2019,8,Q3,FY2020
2019-09-01,20190901,2019,9,Q3,FY2020
2019-09-02,20190902,2019,9,Q3,FY2020
2019-09-03,20190903,2019,9,Q3,FY2020
2019-09-04,20190904,2019,9,Q3,FY2020
2019-09-05,20190905,2019,9,Q3,FY2020
2019-09-06,20190906,2019,9,Q3,FY2020
2019-09-07,20190907,2019,9,Q3,FY2020
2019-09-08,20190908,2019,9,Q3,FY2020
2019-09-09,20190909,2019,9,Q3,FY2020
2019-09-10,20190910,2019,9,Q3,FY2020
2019-09-11,20190911,2019,9,Q3,FY2020
2019-09-12,20190912,2019,9,Q3,FY2020
2019-09-13,20190913,2019,9,Q3,FY2020
2019-09-14,20190914,2019,9,Q3,FY2020
2019-09-15,20190915,2019,9,Q3,FY2020
2019-09-16,20190916,2019,9,Q3,FY2020
2019-09-17,20190917,2019,9,Q3,FY2020
2019-09-18,20190918,2019,9,Q3,FY2020
2019-09-19,20190919,2019,9,Q3,FY2020
2019-09-20,20190920,2019,9,Q3,FY2020
2019-09-21,20190921,2019,9,Q3,FY2020
2019-09-22,20190922,2019,9,Q3,FY2020
2019-09-23,20190923,2019,9,Q3,FY2020
2019-09-24,20190924,2019,9,Q3,FY2020
2019-09-25,20190925,2019,9,Q3,FY2020
2019-09-26,20190926,2019,9,Q3,FY2020
2019-09-27,20190927,2019,9,Q3,FY2020
2019-09-28,20190928,2019,9,Q3,FY2020
2019-09-29,20190929,2019,9,Q3,FY2020
2019-09-30,20190930,2019,9,Q3,FY2020
2019-10-01,20191001,2019,10,Q4,FY2020
2019-10-02,20191002,2019,10,Q4,FY2020
2019-10-03,20191003,2019,10,Q4,FY2020
2019-10-04,20191004,2019,10,Q4,FY2020
2019-10-05,20191005,2019,10,Q4,FY2020
2019-10-06,20191006,2019,10,Q4,FY2020
2019-10-07,20191007,2019,10,Q4,FY2020
2019-10-08,20191008,2019,10,Q4,FY2020
2019-10-09,20191009,2019,10,Q4,FY2020
2019-10-10,20191010,2019,10,Q4,FY2020
2019-10-11,20191011,2019,10,Q4,FY2020
2019-10-12,20191012,2019,10,Q4,FY2020
2019-10-13,20191013,2019,10,Q4,FY2020
2019-10-14,20191014,2019,10,Q4,FY2020
2019-10-15,20191015,2019,10,Q4,FY2020
2019-10-16,20191016,2019,10,Q4,FY2020
2019-10-17,20191017,2019,10,Q4,FY2020
2019-10-18,20191018,2019,10,Q4,FY2020
2019-10-19,20191019,2019,10,Q4,FY2020
2019-10-20,20191020,2019,10,Q4,FY2020
2019-10-21,20191021,2019,10,Q4,FY2020
2019-10-22,20191022,2019,10,Q4,FY2020
2019-10-23,20191023,2019,10,Q4,FY2020
2019-10-24,20191024,2019,10,Q4,FY2020
2019-10-25,20191025,2019,10,Q4,FY2020
2019-10-26,20191026,2019,10,Q4,FY2020
2019-10-27,20191027,2019,10,Q4,FY2020
2019-10-28,20191028,2019,10,Q4,FY2020
2019-10-29,20191029,2019,10,Q4,FY2020
2019-10-30,20191030,2019,10,Q4,FY2020
2019-10-31,20191031,2019,10,Q4,FY2020
2019-11-01,20191101,2019,11,Q4,FY2020
2019-11-02,20191102,2019,11,Q4,FY2020
2019-11-03,20191103,2019,11,Q4,FY2020
2019-11-04,20191104,2019,11,Q4,FY2020
2019-11-05,20191105,2019,11,Q4,FY2020
2019-11-06,20191106,2019,11,Q4,FY2020
2019-11-07,20191107,2019,11,Q4,FY2020
2019-11-08,20191108,2019,11,Q4,FY2020
2019-11-09,20191109,2019,11,Q4,FY2020
2019-11-10,20191110,2019,11,Q4,FY2020
2019-11-11,20191111,2019,11,Q4,FY2020
2019-11-12,20191112,2019,11,Q4,FY2020
2019-11-13,20191113,2019,11,Q4,FY2020
2019-11-14,20191114,2019,11,Q4,FY2020
2019-11-15,20191115,2019,11,Q4,FY2020
2019-11-16,20191116,2019,11,Q4,FY2020
2019-11-17,20191117,2019,11,Q4,FY2020
2019-11-18,20191118,2019,11,Q4,FY2020
2019-11-19,20191119,2019,11,Q4,FY2020
2019-11-20,20191120,2019,11,Q4,FY2020
2019-11-21,20191121,2019,11,Q4,FY2020
2019-11-22,20191122,2019,11,Q4,FY2020
2019-11-23,20191123,2019,11,Q4,FY2020
2019-11-24,20191124,2019,11,Q4,FY2020
2019-11-25,20191125,2019,11,Q4,FY2020
2019-11-26,20191126,2019,11,Q4,FY2020
2019-11-27,20191127,2019,11,Q4,FY2020
2019-11-28,20191128,2019,11,Q4,FY2020
2019-11-29,20191129,2019,11,Q4,FY2020
2019-11-30,20191130,2019,11,Q4,FY2020
2019-12-01,20191201,2019,12,Q4,FY2020
2019-12-02,20191202,2019,12,Q4,FY2020
2019-12-03,20191203,2019,12,Q4,FY2020
2019-12-04,20191204,2019,12,Q4,FY2020
2019-12-05,20191205,2019,12,Q4,FY2020
2019-12-06,20191206,2019,12,Q4,FY2020
2019-12-07,20191207,2019,12,Q4,FY2020
2019-12-08,20191208,2019,12,Q4,FY2020
2019-12-09,20191209,2019,12,Q4,FY2020
2019-12-10,20191210,2019,12,Q4,FY2020
2019-12-11,20191211,2019,12,Q4,FY2020
2019-12-12,20191212,2019,12,Q4,FY2020
2019-12-13,20191213,2019,12,Q4,FY2020
2019-12-14,20191214,2019,12,Q4,FY2020
2019-12-15,20191215,2019,12,Q4,FY2020
2019-12-16,20191216,2019,12,Q4,FY2020
2019-12-17,20191217,2019,12,Q4,FY2020
2019-12-18,20191218,2019,12,Q4,FY2020
2019-12-19,20191219,2019,12,Q4,FY2020
2019-12-20,20191220,2019,12,Q4,FY2020
2019-12-21,20191221,2019,12,Q4,FY2020
2019-12-22,20191222,2019,12,Q4,FY2020
2019-12-23,20191223,2019,12,Q4,FY2020
2019-12-24,20191224,2019,12,Q4,FY2020
2019-12-25,20191225,2019,12,Q4,FY2020
2019-12-26,20191226,2019,12,Q4,FY2020
2019-12-27,20191227,2019,12,Q4,FY2020
2019-12-28,20191228,2019,12,Q4,FY2020
2019-12-29,20191229,2019,12,Q4,FY2020
2019-12-30,20191230,2019,12,Q4,FY2020
2019-12-31,20191231,2019,12,Q4,FY2020
2020-01-01,20200101,2020,1,Q1,FY2020
2020-01-02,20200102,2020,1,Q1,FY2020
2020-01-03,20200103,2020,1,Q1,FY2020
2020-01-04,20200104,2020,1,Q1,FY2020
2020-01-05,20200105,2020,1,Q1,FY2020
2020-01-06,20200106,2020,1,Q1,FY2020
2020-01-07,20200107,2020,1,Q1,FY2020
2020-01-08,20200108,2020,1,Q1,FY2020
2020-01-09,20200109,2020,1,Q1,FY2020
2020-01-10,20200110,2020,1,Q1,FY2020
2020-01-11,20200111,2020,1,Q1,FY2020
2020-01-12,20200112,2020,1,Q1,FY2020
2020-01-13,20200113,2020,1,Q1,FY2020
2020-01-14,20200114,2020,1,Q1,FY2020
2020-01-15,20200115,2020,1,Q1,FY2020
2020-01-16,20200116,2020,1,Q1,FY2020
2020-01-17,20200117,2020,1,Q1,FY2020
2020-01-18,20200118,2020,1,Q1,FY2020
2020-01-19,20200119,2020,1,Q1,FY2020
2020-01-20,20200120,2020,1,Q1,FY2020
2020-01-21,20200121,2020,1,Q1,FY2020
2020-01-22,20200122,2020,1,Q1,FY2020
2020-01-23,20200123,2020,1,Q1,FY2020
2020-01-24,20200124,2020,1,Q1,FY2020
2020-01-25,20200125,2020,1,Q1,FY2020
2020-01-26,20200126,2020,1,Q1,FY2020
2020-01-27,20200127,2020,1,Q1,FY2020
2020-01-28,20200128,2020,1,Q1,FY2020
2020-01-29,20200129,2020,1,Q1,FY2020
2020-01-30,20200130,2020,1,Q1,FY2020
2020-01-31,20200131,2020,1,Q1,FY2020
2020-02-01,20200201,2020,2,Q1,FY2020
2020-02-02,20200202,2020,2,Q1,FY2020
2020-02-03,20200203,2020,2,Q1,FY2020
2020-02-04,20200204,2020,2,Q1,FY2020
2020-02-05,20200205,2020,2,Q1,FY2020
2020-02-06,20200206,2020,2,Q1,FY2020
2020-02-07,20200207,2020,2,Q1,FY2020
2020-02-08,20200208,2020,2,Q1,FY2020
2020-02-09,20200209,2020,2,Q1,FY2020
2020-02-10,20200210,2020,2,Q1,FY2020
2020-02-11,20200211,2020,2,Q1,FY2020
2020-02-12,20200212,2020,2,Q1,FY2020
2020-02-13,20200213,2020,2,Q1,FY2020
2020-02-14,20200214,2020,2,Q1,FY2020
2020-02-15,20200215,2020,2,Q1,FY2020
2020-02-16,20200216,2020,2,Q1,FY2020
2020-02-17,20200217,2020,2,Q1,FY2020
2020-02-18,20200218,2020,2,Q1,FY2020
2020-02-19,20200219,2020,2,Q1,FY2020
2020-02-20,20200220,2020,2,Q1,FY2020
2020-02-21,20200221,2020,2,Q1,FY2020
2020-02-22,20200222,2020,2,Q1,FY2020
2020-02-23,20200223,2020,2,Q1,FY2020
2020-02-24,20200224,2020,2,Q1,FY2020
2020-02-25,20200225,2020,2,Q1,FY2020
2020-02-26,20200226,2020,2,Q1,FY2020
2020-02-27,20200227,2020,2,Q1,FY2020
2020-02-28,20200228,2020,2,Q1,FY2020
2020-02-29,20200229,2020,2,Q1,FY2020
2020-03-01,20200301,2020,3,Q1,FY2020
2020-03-02,20200302,2020,3,Q1,FY2020
2020-03-03,20200303,2020,3,Q1,FY2020
2020-03-04,20200304,2020,3,Q1,FY2020
2020-03-05,20200305,2020,3,Q1,FY2020
2020-03-06,20200306,2020,3,Q1,FY2020
2020-03-07,20200307,2020,3,Q1,FY2020
2020-03-08,20200308,2020,3,Q1,FY2020
2020-03-09,20200309,2020,3,Q1,FY2020
2020-03-10,20200310,2020,3,Q1,FY2020
2020-03-11,20200311,2020,3,Q1,FY2020
2020-03-12,20200312,2020,3,Q1,FY2020
2020-03-13,20200313,2020,3,Q1,FY2020
2020-03-14,20200314,2020,3,Q1,FY2020
2020-03-15,20200315,2020,3,Q1,FY2020
2020-03-16,20200316,2020,3,Q1,FY2020
2020-03-17,20200317,2020,3,Q1,FY2020
2020-03-18,20200318,2020,3,Q1,FY2020
2020-03-19,20200319,2020,3,Q1,FY2020
2020-03-20,20200320,2020,3,Q1,FY2020
2020-03-21,20200321,2020,3,Q1,FY2020
2020-03-22,20200322,2020,3,Q1,FY2020
2020-03-23,20200323,2020,3,Q1,FY2020
2020-03-24,20200324,2020,3,Q1,FY2020
2020-03-25,20200325,2020,3,Q1,FY2020
2020-03-26,20200326,2020,3,Q1,FY2020
2020-03-27,20200327,2020,3,Q1,FY2020
2020-03-28,20200328,2020,3,Q1,FY2020
2020-03-29,20200329,2020,3,Q1,FY2020
2020-03-30,20200330,2020,3,Q1,FY2020
2020-03-31,20200331,2020,3,Q1,FY2020
2020-04-01,20200401,2020,4,Q2,FY2020
2020-04-02,20200402,2020,4,Q2,FY2020
2020-04-03,20200403,2020,4,Q2,FY2020
2020-04-04,20200404,2020,4,Q2,FY2020
2020-04-05,20200405,2020,4,Q2,FY2020
2020-04-06,20200406,2020,4,Q2,FY2020
2020-04-07,20200407,2020,4,Q2,FY2020
2020-04-08,20200408,2020,4,Q2,FY2020
2020-04-09,20200409,2020,4,Q2,FY2020
2020-04-10,20200410,2020,4,Q2,FY2020
2020-04-11,20200411,2020,4,Q2,FY2020
2020-04-12,20200412,2020,4,Q2,FY2020
2020-04-13,20200413,2020,4,Q2,FY2020
2020-04-14,20200414,2020,4,Q2,FY2020
2020-04-15,20200415,2020,4,Q2,FY2020
2020-04-16,20200416,2020,4,Q2,FY2020
2020-04-17,20200417,2020,4,Q2,FY2020
2020-04-18,20200418,2020,4,Q2,FY2020
2020-04-19,20200419,2020,4,Q2,FY2020
2020-04-20,20200420,2020,4,Q2,FY2020
2020-04-21,20200421,2020,4,Q2,FY2020
2020-04-22,20200422,2020,4,Q2,FY2020
2020-04-23,20200423,2020,4,Q2,FY2020
2020-04-24,20200424,2020,4,Q2,FY2020
2020-04-25,20200425,2020,4,Q2,FY2020
2020-04-26,20200426,2020,4,Q2,FY2020
2020-04-27,20200427,2020,4,Q2,FY2020
2020-04-28,20200428,2020,4,Q2,FY2020
2020-04-29,20200429,2020,4,Q2,FY2020
2020-04-30,20200430,2020,4,Q2,FY2020
2020-05-01,20200501,2020,5,Q2,FY2020
2020-05-02,20200502,2020,5,Q2,FY2020
2020-05-03,20200503,2020,5,Q2,FY2020
2020-05-04,20200504,2020,5,Q2,FY2020
2020-05-05,20200505,2020,5,Q2,FY2020
2020-05-06,20200506,2020,5,Q2,FY2020
2020-05-07,20200507,2020,5,Q2,FY2020
2020-05-08,20200508,2020,5,Q2,FY2020
2020-05-09,20200509,2020,5,Q2,FY2020
2020-05-10,20200510,2020,5,Q2,FY2020
2020-05-11,20200511,2020,5,Q2,FY2020
2020-05-12,20200512,2020,5,Q2,FY2020
2020-05-13,20200513,2020,5,Q2,FY2020
2020-05-14,20200514,2020,5,Q2,FY2020
2020-05-15,20200515,2020,5,Q2,FY2020
2020-05-16,20200516,2020,5,Q2,FY2020
2020-05-17,20200517,2020,5,Q2,FY2020
2020-05-18,20200518,2020,5,Q2,FY2020
2020-05-19,20200519,2020,5,Q2,FY2020
2020-05-20,20200520,2020,5,Q2,FY2020
2020-05-21,20200521,2020,5,Q2,FY2020
2020-05-22,20200522,2020,5,Q2,FY2020
2020-05-23,20200523,2020,5,Q2,FY2020
2020-05-24,20200524,2020,5,Q2,FY2020
2020-05-25,20200525,2020,5,Q2,FY2020
2020-05-26,20200526,2020,5,Q2,FY2020
2020-05-27,20200527,2020,5,Q2,FY2020
2020-05-28,20200528,2020,5,Q2,FY2020
2020-05-29,20200529,2020,5,Q2,FY2020
2020-05-30,20200530,2020,5,Q2,FY2020
2020-05-31,20200531,2020,5,Q2,FY2020
2020-06-01,20200601,2020,6,Q2,FY2020
2020-06-02,20200602,2020,6,Q2,FY2020
2020-06-03,20200603,2020,6,Q2,FY2020
2020-06-04,20200604,2020,6,Q2,FY2020
2020-06-05,20200605,2020,6,Q2,FY2020
2020-06-06,20200606,2020,6,Q2,FY2020
2020-06-07,20200607,2020,6,Q2,FY2020
2020-06-08,20200608,2020,6,Q2,FY2020
2020-06-09,20200609,2020,6,Q2,FY2020
2020-06-10,20200610,2020,6,Q2,FY2020
2020-06-11,20200611,2020,6,Q2,FY2020
2020-06-12,20200612,2020,6,Q2,FY2020
2020-06-13,20200613,2020,6,Q2,FY2020
2020-06-14,20200614,2020,6,Q2,FY2020
2020-06-15,20200615,2020,6,Q2,FY2020
2020-06-16,20200616,2020,6,Q2,FY2020
2020-06-17,20200617,2020,6,Q2,FY2020
2020-06-18,20200618,2020,6,Q2,FY2020
2020-06-19,20200619,2020,6,Q2,FY2020
2020-06-20,20200620,2020,6,Q2,FY2020
2020-06-21,20200621,2020,6,Q2,FY2020
2020-06-22,20200622,2020,6,Q2,FY2020
2020-06-23,20200623,2020,6,Q2,FY2020
2020-06-24,20200624,2020,6,Q2,FY2020
2020-06-25,20200625,2020,6,Q2,FY2020
2020-06-26,20200626,2020,6,Q2,FY2020
2020-06-27,20200627,2020,6,Q2,FY2020
2020-06-28,20200628,2020,6,Q2,FY2020
2020-06-29,20200629,2020,6,Q2,FY2020
2020-06-30,20200630,2020,6,Q2,FY2020
2020-07-01,20200701,2020,7,Q3,FY2021
2020-07-02,20200702,2020,7,Q3,FY2021
2020-07-03,20200703,2020,7,Q3,FY2021
2020-07-04,20200704,2020,7,Q3,FY2021
2020-07-05,20200705,2020,7,Q3,FY2021
2020-07-06,20200706,2020,7,Q3,FY2021
2020-07-07,20200707,2020,7,Q3,FY2021
2020-07-08,20200708,2020,7,Q3,FY2021
2020-07-09,20200709,2020,7,Q3,FY2021
2020-07-10,20200710,2020,7,Q3,FY2021
2020-07-11,20200711,2020,7,Q3,FY2021
